2015-12-14 15:20:05,790 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:20:05,813 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:20:05,815 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:20:05,817 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:20:06,802 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:20:07,113 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:20:07,116 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:20:07,118 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:20:07,125 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-14 15:22:21,221 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
